guid,text,back extra,tags
E=:2Wv-cl/,"Documentation should focus on&nbsp;{{c1::what}} the essential properties are, not&nbsp;{{c1::how}} these are implemented<br>","- “Whenever a ListRep object’s shared-field is false, it is used as representation of at most one List object”<br>Rather than:<br>- “When creating a new List object with an existing ListRep object, the shared-field is set to true”",eth::sem6::rse
Lb$9SF|p._,Documentation contracts of&nbsp;{{c1::public methods}} should not refer to&nbsp;{{c2::private fields}},(as clients may not have direct access to these fields),eth::sem6::rse
qHQ?3b9n#8,{{c1::Coupling}} measures&nbsp;{{c2::interdependence}} between different&nbsp;{{c3::modules}},"<img src=""paste-6725aff76c37882399c37da8a1351b8542d9f7d8.jpg"">",eth::sem6::rse
PN|p^wy`+r,Modules that&nbsp;{{c1::expose}} their&nbsp;{{c2::internal}} data representation become&nbsp;{{c3::tightly-coupled}} to their clients,,eth::sem6::rse
"q^)l,&K}Eu",{{c1::Information hiding}} is when we&nbsp;{{c2::hide implementation details behind the interface}},,eth::sem6::rse
C6pcL?!}7f,"With ""No leaking"" we mean that we&nbsp;{{c1::do not return references to sub-objects}}",,eth::sem6::rse
z[5cW&xLye,"Design patterns are&nbsp;{{c1::general, reusable solutions}} to commonly occuring design problems",,eth::sem6::rse
wL$U].vhYS,2 Approaches for making code modular:<div>- {{c1::Restricting access to data fields}}</div><div>- {{c2::Making shared data immutable}}</div>,,eth::sem6::rse
s#h<bFT:$S,The&nbsp;{{c1::flyweight}} pattern maximizes {{c2::sharing of immutable objects}},,eth::sem6::rse
"uf5n?WE,d$",In the {{c1::observer}} pattern components may&nbsp;{{c2::generate events}} or&nbsp;{{c3::register for events}} of other components using {{c4::a callback}},,eth::sem6::rse
wFlN54|NsF,"Main strengths of Event-Based Style:<br>-&nbsp;{{c1::Reuse: plug in new components by registering them for events}}<br>-&nbsp;{{c2::Adaptation: add, remove, replace components with minimum effect on other components in the system}}",,eth::sem6::rse
AI$34=Pl-!,"Weaknesses of event-based-style:<br><ul><li>{{c1::Loss of control: In which order will the components be invoked?}}</li><li>{{c2::Ensuring correctness is difficult, because it depends on the context}}</li></ul>",,eth::sem6::rse
uvYecvWsii,{{c1::Inheritance}} couples the&nbsp;{{c2::sub}}-class to the&nbsp;{{c2::super}}-class,,eth::sem6::rse
exqNcTD~^q,{{c1::Allocations}} couple the&nbsp;{{c2::clients}} to the&nbsp;{{c3::instantiated class}},,eth::sem6::rse
z1pY`-jH4Y,Modules can be made parametric by using&nbsp;{{c1::interfaces}} and&nbsp;{{c1::factories}} instead of {{c2::concrete classes}},,eth::sem6::rse
"tW7AHJ,L`J",Modules can be made parametric by using&nbsp;{{c1::variable values}} instead of constant values,,eth::sem6::rse
D0u4{mBGHt,"In Unit Testing we are testing {{c1::individual subsystems (collection of classes, or a single class)}}",,eth::sem6::rse
nzkJu|rCi,{{c2::Exhaustive}} testing is when a unit is tested for&nbsp;{{c1::every possible input}},,eth::sem6::rse
u41B9imTVk,{{c1::Random}} testing is when a unit is tested&nbsp;{{c2::with random inputs}},,eth::sem6::rse
Hb#v9j|Ffq,What is the main disadvantage of random testing?<br>-&nbsp;{{c1::Treats all inputs as equally valuable}},,eth::sem6::rse
L[1$v]wr$I,{{c1::Functional}} testing&nbsp;tests units by&nbsp;{{c2::using requirements knowledge to derive test cases}},,eth::sem6::rse
ht%}>4U?im,What is a limitation of functional testing?<br>-&nbsp;{{c1::Does not reveal errors in the specification (missing cases)}},,eth::sem6::rse
gK>:g@46}n,"{{c1::Structural}} testing&nbsp;uses&nbsp;{{c2::design knowledge about the system structure, algorithms}} to&nbsp;{{c3::derive test cases that exercise a large portion of the code}}","<img src=""paste-e87f2d290398114b64a91247adf2baee01fd5c4d.jpg"">",eth::sem6::rse
DYp*ax]L{4,What is a limitation for structural testing?<br>-&nbsp;{{c1::It requires design knowledge of the algorithm.}},,eth::sem6::rse
qKi6AEUtUh,In&nbsp;{{c1::<b>partition</b>}} <b>testing</b> inputs are divided into&nbsp;{{c2::equivalence classes}}.,"<img src=""paste-5fe060e70f819572e68ca9ef0f78d2d5bccf4c89.jpg"">",eth::sem6::rse
eoK{q9uGmh,In&nbsp;{{c1::combinatorial}} testing we combine {{c2::equivalence classes}} and&nbsp;{{c3::boundary testing}},,eth::sem6::rse
duva[q!ps:,CI stands for&nbsp;{{c1::continuous integration}},,eth::sem6::rse
OXs57+IG3>,CFG stands for&nbsp;{{c1::Control Flow Graph}},,eth::sem6::rse
"i^<X,%0sPr","An <b>intraprocedural </b>CFG of a procedure&nbsp;\(p\)&nbsp;is a graph (\(N\),\(E\)) where:<br><ul><li>N is the set of {{c2::basic blocks in&nbsp;\(p\) plus designated entry and exit blocks}}</li><li>E contains</li><ul><li>an edge from&nbsp;\(a\)&nbsp;to&nbsp;\(b\)&nbsp;with condition&nbsp;\(c\)&nbsp;iff {{c1::the execution of the basic block&nbsp;\(a\)&nbsp;is succeeded by the execution of&nbsp;\(b\)&nbsp;if the condition&nbsp;\(c\)&nbsp;holds}}</li><li>an edge (entry,&nbsp;\(a\), true) if {{c3::\(a\)&nbsp;is the first basic block of&nbsp;\(p\)}}</li><li>edges (\(b\), exit, true) {{c4::for each basic block&nbsp;\(b\)&nbsp;that ends with a return statement}}</li></ul></ul>",,eth::sem6::rse
w0I3y6[k!2,Statement coverage is {{c1::how many of the statements were executed}},"<img src=""paste-d179af7f24cde56feec56201e8f2ee4fa0a3812a.jpg"">",eth::sem6::rse
f3c^U*Cu<K,Branch coverage tests {{c1::all the possible branches in the control flow}},"<img src=""paste-89f5462098516e5b4526a8847e7a17fc022efcd3.jpg"">",eth::sem6::rse
"E=,-:(D2hT",Branch coverage =&nbsp;{{c1::\(\frac{\text{Number of executed branches} }{\text{Total number of branches} }\)}},,eth::sem6::rse
"bDIEBR7Bg,",Statement coverage =&nbsp;{{c1::\(\frac{\text{Number of executed statements} }{\text{Total number of statements} }\)}},,eth::sem6::rse
o+s{V}k&WV,Branch coverage leads to&nbsp;{{c1::more}} thorough testing than statement coverage,,eth::sem6::rse
QKgYYEk0e*,Path coverage tests&nbsp;{{c1::all possible paths through the CFG}},"<img src=""paste-73ec765fe2842f3ad6e18c35769888542745d24f.jpg"">",eth::sem6::rse
"CO0jjb|r,s",Path coverage =&nbsp;{{c1::\(\frac{\text{Number of executed paths} }{\text{Total number of paths} }\)}},,eth::sem6::rse
HU1f9eoB{X,Path coverage leads to&nbsp;{{c1::more}}&nbsp;thorough testing&nbsp;than both statement and branch coverage,,eth::sem6::rse
k&+-G-#4Yx,"Loop coverage =&nbsp;{{c1::\(\frac{\binom{\text{Number of executed loops} }{\text{with 0,1 and more than 1 iterations} } }{\text{Total number of loops * 3} }\)}}",,eth::sem6::rse
w[GPqNkK+f,"In <b>loop coverage</b>, for each loop, test&nbsp;{{c1::zero, one and more than one consecutive iterations}}","<img src=""paste-7edbf0e01c6293c344cc63b00901549adde7273e.jpg"">",eth::sem6::rse
e&u81Mhltk,Statement coverage leads to&nbsp;{{c1::less}} thorough testing than branch coverage,,eth::sem6::rse
zQup>b%|WT,Statement and branch coverage&nbsp;lead to&nbsp;{{c1::less}}&nbsp;thorough testing&nbsp;than path coverage&nbsp;,,eth::sem6::rse
mp@Z?01%6_,A {{c2::join}} between A and B is denoted as&nbsp;{{c1::\(A \sqcup B\)}},,eth::sem6::rse
"h.W,AkHKnQ","A&nbsp;{{c1::<span style=""color: rgb(255, 0, 0);"">complete lattice</span>}} (L,&nbsp;\(\sqsubseteq\),&nbsp;\(\sqcup\)) is a {{c2::poset}} where {{c3::\(\sqcup Y\)&nbsp;and&nbsp;\(\sqcap Y\)}} exist for any&nbsp;\(Y\subseteq L\)","(For example, for a set&nbsp;\(L\), \((\mathcal{P}(L),\subseteq, \cup, \cap)\)&nbsp;is a complete<br>lattice.)<br><img src=""paste-e3e2228747b18747d291f49eff9b24c97f545256.jpg"">",eth::sem6::rse
ekl?NLMcrS,"A&nbsp;{{c1::function f}}:&nbsp;\(A \to B\)&nbsp;between two posets (A,&nbsp;\(\sqsubseteq\)) and (B,&nbsp;\(\leq\)) is {{c2::<span style=""color: rgb(255, 0, 0);"">increasing (monotone)</span>}}:&nbsp;\(\forall a,b\in A:\)&nbsp;{{c3::\(a\sqsubseteq b\Rightarrow f(a)\leq f(b)\)}}",,eth::sem6::rse
DkKd1ZguM=,"For a poset (L,&nbsp;\(\sqsubseteq\)), function f:&nbsp;\(L\to L\), and element&nbsp;\(x\in L\):<br>- x is a {{c1::fixed point}} iff f(x) = x",,eth::sem6::rse
o!)HPR@]=|,{{c2::Fix(f)}} denotes the set of all {{c1::fixed points}},,eth::sem6::rse
j;{O$^.NF6,{{c2::Red(f)}} denotes the set of all {{c1::post-fixedpoints}},,eth::sem6::rse
c+aGa7;*sj,"For a poset (L,&nbsp;\(\sqsubseteq\)), function&nbsp;\(f:L\to L\), we say that&nbsp;{{c2::\(lfp^\sqsubseteq f\)}}&nbsp;\(\in L\)&nbsp;is a {{c1::least fixed point}} of&nbsp;\(f\)",,eth::sem6::rse
